Year,Gender,Series,mean,ci_lower,ci_upper
2005,Any,Mean repeat co-authors,0.79,0.74,0.84
2005,Female,Authors (000s),0.76,0.76,0.76
2005,Female,Mean co-authors (degree),2.63,2.45,2.81
2005,Female,Mean co-authored papers,2.29,2.06,2.5
2005,Female,Mean repeat co-authors,0.58,0.5,0.66
2005,Male,Authors (000s),2.99,2.99,2.99
2005,Male,Mean co-authors (degree),3.29,3.16,3.42
2005,Male,Mean co-authored papers,3.31,3.13,3.48
2005,Male,Mean repeat co-authors,0.86,0.81,0.91
2005,Unknown,Authors (000s),0.04,0.04,0.04
2005,Unknown,Mean co-authors (degree),1.84,1.6,2.07
2005,Unknown,Mean co-authored papers,1.19,1.05,1.37
2005,Unknown,Mean repeat co-authors,0.14,0.05,0.28
2006,Any,Authors (000s),4.11,4.11,4.11
2006,Any,Mean co-authors (degree),3.24,3.13,3.34
2006,Any,Mean co-authored papers,3.09,2.95,3.23
2006,Any,Mean repeat co-authors,0.8,0.76,0.85
2006,Female,Authors (000s),0.85,0.85,0.85
2006,Female,Mean co-authors (degree),2.77,2.6,2.96
2006,Female,Mean co-authored papers,2.31,2.15,2.51
2006,Female,Mean repeat co-authors,0.58,0.51,0.65
2006,Male,Authors (000s),3.2,3.2,3.2
2006,Male,Mean co-authors (degree),3.39,3.28,3.52
2006,Male,Mean co-authored papers,3.32,3.19,3.49
2006,Male,Mean repeat co-authors,0.87,0.82,0.93
2006,Unknown,Authors (000s),0.05,0.05,0.05
2006,Unknown,Mean co-authors (degree),1.89,1.62,2.15
2006,Unknown,Mean co-authored papers,1.15,1.04,1.28
2006,Unknown,Mean repeat co-authors,0.13,0.04,0.25
2007,Any,Authors (000s),4.44,4.44,4.44
2007,Any,Mean co-authors (degree),3.31,3.21,3.42
2007,Any,Mean co-authored papers,3.09,2.95,3.24
2007,Any,Mean repeat co-authors,0.82,0.78,0.86
2007,Female,Authors (000s),0.94,0.94,0.94
2007,Female,Mean co-authors (degree),2.85,2.69,2.99
2007,Female,Mean co-authored papers,2.36,2.16,2.54
2007,Female,Mean repeat co-authors,0.61,0.54,0.67
2007,Male,Authors (000s),3.45,3.45,3.45
2007,Male,Mean co-authors (degree),3.46,3.36,3.59
2007,Male,Mean co-authored papers,3.32,3.16,3.48
2007,Male,Mean repeat co-authors,0.89,0.84,0.95
2007,Unknown,Authors (000s),0.06,0.06,0.06
2007,Unknown,Mean co-authors (degree),1.86,1.62,2.18
2007,Unknown,Mean co-authored papers,1.16,1.05,1.34
